0,gtr,Wah Walker
1,syn,Sin Symph 1
2,gtr,Mood
3,gtr,Nylon
4,gtr,Nylon 2
5,gtr,Slide Hit
6,gtr,Fine Slide
7,gtr,Grit Slide
8,gtr,Strata
9,gtr,Strum Glass
10,gtr,Flange Pick
11,gtr,Grunge
12,gtr,One Shot
13,gtr,Slo Strum
14,gtr,Kraked Tube
15,gtr,Burnt
16,gtr,Weezl Fuzz
17,gtr,Slicer
18,gtr,Dissed Hit
19,gtr,Doom 1
20,pad,Drone 1
21,pad,Drone 2
22,pad,Drone Swirl
23,pad,Siren Spin
24,pad,Leon's
25,hit,Guit n Hat
26,hit,Satisfying
27,hit,Org Creept
28,led,Deep Thought
29,led,70's Lead
30,led,Guitlet
31,syn,Synthomatic
32,pad,Transform
33,amb,Droning MW
34,amb,Rubble MW
35,bas,DropOffSine1
36,bas,DropOffSine2
37,key,So Kazual
38,hit,Wheely Gal
39,bas,DropOffSine3
40,bas,DropOffSine4
41,key,Org Basic
42,key,Klav Mav
43,syn,ReturnToZoo
44,str,Disco Diva
45,pad,DanceLitez
46,gtr,Weeoww
47,led,RaveEEEE
48,led,RaveAAHH
49,pad,AditivOrgan
50,pad,Trans
51,pad,Narwhal
52,amb,Trippin MW
53,kit,WideOne
54,kit,ThugItUp
55,kit,OnDaStreet
56,kit,The Wiz
57,pad,KnobbyTwirly
58,kit,PhilterFreak
59,kit,Nu Funk
60,kit,Relapse
61,kit,HardStep
62,rom,Play Thru
63,hit,Sweeit
64,hit,Knock U Out
65,hit,Nice Under
66,hit,Splash
67,str,Suspence
68,key,Growl Drop
69,key,HarpsiFlange
70,str,HybridSweep
71,key,Kool Kord
72,key,Org Roll
73,key,Perk Organ
74,str,Synth String
75,key,Horror Glide
76,brs,Caliente
77,brs,Trump Slide
78,led,FantasyWormz
79,bts,SpaceBoyZ
80,led,Yearning
81,led,Reeder
82,led,Violetta
83,led,Stevie
84,sfx,Mr.Clean
85,sfx,Shield
86,sfx,Syclear
87,sfx,Reaper
88,vox,Ahyeeyah
89,pad,Pulsar
90,hit,Carney Hits
91,hit,Brazit 1
92,hit,Brazit 2
93,hit,Brazit 3
94,hit,Brazit 4
95,hit,Brazit 5
96,hit,Spizy
97,pad,Worry
98,str,Orchestsyn
99,syn,Grinder
100,syn,Weeperr
101,amb,Seascape
102,sfx,Wet Trippy
103,syn,Two Step
104,syn,Prosync
105,kit,Mo Dist
106,kit,Slappy
107,kit,DarkFlower
108,kit,Funk 4 Life
109,kit,Perky
110,kit,Crunch
111,kit,Klippy
112,kit,GM Two
113,kit,SubwayTunnel
114,kit,ClasikStudio
115,kit,ScratchHead
116,kit,FiltrSKRATCH
117,kit,Vilper
118,kit,DubItUp
119,kit,NewBeat
120,kit,CornaSto'
121,sfx,BlowinUp1MW
122,prc,ScratchMatic
123,kit,Construction
124,kit,NuMetal
125,bas,Cube Bass
126,bas,Iggio Basso
127,syn,Objections
